Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,France,Beverages,Offline,L,01/01/2013,444844250,01/26/2013,9984,323.34,231.91,3228226.56,2315389.44,912837.12
North America,USA,Meat,Offline,H,03/08/2011,794713593,03/15/2011,11886,324.94,197.14,3862236.84,2343206.04,1519030.8
Europe,USA,Personal Care,Offline,C,04/13/2013,848968824,04/30/2013,10370,337.46,296.66,3499460.2,3076364.2,423096
Middle East and North Africa,USA,Cereal,Offline,C,10/19/2013,306351856,10/24/2013,1805,245.78,151.51,443632.9,273475.55,170157.35
Middle East and North Africa,USA,Household,Offline,M,06/14/2014,983470843,07/02/2014,7398,204.49,176.1,1512817.02,1302787.8,210029.22
Central America and the Caribbean,India,Personal Care,Offline,L,08/02/2015,658310765,08/04/2015,1465,125.61,86.93,184018.65,127352.45,56666.2
Australia and Oceania,USA,Cosmetics,Offline,C,07/03/2020,525277475,07/16/2020,8080,109.81,97.1,887264.8,784568,102696.8
Australia and Oceania,India,Office Supplies,Online,H,09/23/2022,491299248,10/07/2022,6744,424.86,266.59,2865255.84,1797882.96,1067372.88
Central America and the Caribbean,Brazil,Clothes,Offline,H,03/17/2023,946178428,04/10/2023,2550,506.74,385.93,1292187,984121.5,308065.5
Middle East and North Africa,India,Office Supplies,Online,H,12/06/2010,110698556,12/15/2010,10311,119.89,74.17,1236185.79,764766.87,471418.92
Central America and the Caribbean,USA,Cosmetics,Offline,C,01/07/2010,119355228,01/30/2010,7055,83.56,51.18,589515.8,361074.9,228440.9
Sub-Saharan Africa,Australia,Fruits,Offline,L,10/05/2012,452814993,10/27/2012,514,515.72,455.12,265080.08,233931.68,31148.4
North America,Brazil,Fruits,Online,C,02/07/2021,226419029,02/11/2021,10229,228.31,170.43,2335382.99,1743328.47,592054.52
Middle East and North Africa,UAE,Cereal,Offline,M,06/06/2013,432808841,06/11/2013,5248,367.82,259.59,1930319.36,1362328.32,567991.04
North America,Australia,Cosmetics,Offline,L,07/18/2018,409955789,07/31/2018,2535,616.18,438.1,1562016.3,1110583.5,451432.8
Europe,India,Household,Online,H,11/11/2018,226774170,12/05/2018,401,627.62,482,251675.62,193282,58393.62
Australia and Oceania,Brazil,Household,Online,L,05/23/2012,601847883,06/04/2012,2646,208.54,182.32,551796.84,482418.72,69378.12
Australia and Oceania,Mexico,Cosmetics,Offline,C,09/06/2018,873254545,09/19/2018,9407,657.51,509.17,6185196.57,4789762.19,1395434.38
Sub-Saharan Africa,Mexico,Cereal,Online,H,10/29/2021,117943440,11/16/2021,1683,119.38,72.82,200916.54,122556.06,78360.48
North America,Kenya,Snacks,Offline,L,06/03/2010,149919769,06/08/2010,9945,637.38,397.11,6338744.1,3949258.95,2389485.15
Central America and the Caribbean,France,Beverages,Online,L,12/16/2012,999169081,12/24/2012,2749,283.14,185.39,778351.86,509637.11,268714.75
Central America and the Caribbean,UAE,Office Supplies,Offline,M,10/10/2012,425137461,10/24/2012,7365,91.74,74.92,675665.1,551785.8,123879.3
Middle East and North Africa,Mexico,Cereal,Online,M,11/16/2017,205663526,11/19/2017,11719,212.99,137.08,2496029.81,1606440.52,889589.29
Sub-Saharan Africa,UAE,Meat,Online,M,04/10/2015,491143673,05/10/2015,11724,625.32,400.09,7331251.68,4690655.16,2640596.52
Europe,India,Personal Care,Online,C,04/29/2015,322003636,05/28/2015,9709,192.2,165.18,1866069.8,1603732.62,262337.18
Australia and Oceania,India,Personal Care,Offline,C,07/11/2020,663896237,08/03/2020,6734,84.98,64.71,572255.32,435757.14,136498.18
Central America and the Caribbean,Mexico,Cereal,Online,C,05/15/2019,196625905,06/12/2019,717,218.35,140.33,156556.95,100616.61,55940.34
North America,India,Office Supplies,Online,C,08/06/2012,949361960,08/15/2012,10411,74.2,62.83,772496.2,654123.13,118373.07
Europe,Australia,Beverages,Offline,L,11/10/2011,113915449,11/16/2011,7972,302.68,213.23,2412964.96,1699869.56,713095.4
Middle East and North Africa,France,Fruits,Offline,M,08/19/2011,865518957,09/18/2011,8500,592.32,516.55,5034720,4390675,644045
Australia and Oceania,Mexico,Personal Care,Online,C,08/19/2012,297541328,08/30/2012,4693,669.29,468.82,3140977.97,2200172.26,940805.71
Asia,Germany,Snacks,Offline,C,08/01/2013,957304729,08/28/2013,2775,12.56,7.59,34854,21062.25,13791.75
North America,Germany,Baby Food,Offline,C,09/22/2020,746570318,10/09/2020,9146,52,37.57,475592,343615.22,131976.78
Asia,Australia,Cereal,Offline,M,02/13/2016,935354279,03/03/2016,10314,179.55,155.78,1851878.7,1606714.92,245163.78
Central America and the Caribbean,USA,Household,Offline,L,02/04/2019,876451561,02/09/2019,5173,99.82,71.58,516368.86,370283.34,146085.52
Sub-Saharan Africa,India,Household,Online,L,03/29/2019,583936360,04/23/2019,6454,209.77,141.44,1353855.58,912853.76,441001.82
Middle East and North Africa,Mexico,Office Supplies,Online,M,03/22/2021,111732125,04/06/2021,1587,177.87,122.38,282279.69,194217.06,88062.63
Australia and Oceania,Japan,Fruits,Online,C,11/26/2020,822208881,11/30/2020,4859,272.94,219.6,1326215.46,1067036.4,259179.06
North America,Mexico,Fruits,Offline,C,08/26/2018,944867816,08/27/2018,8122,162.37,140.71,1318769.14,1142846.62,175922.52
North America,Mexico,Clothes,Offline,M,12/10/2019,670951123,12/27/2019,2499,426.1,297.68,1064823.9,743902.32,320921.58
Australia and Oceania,Germany,Snacks,Offline,H,12/22/2016,797954759,12/25/2016,8507,41.06,26.65,349297.42,226711.55,122585.87
Middle East and North Africa,France,Meat,Offline,M,09/24/2011,946368073,10/04/2011,6248,230.37,155.86,1439351.76,973813.28,465538.48
Middle East and North Africa,Germany,Cosmetics,Online,C,05/18/2011,992213985,06/04/2011,9067,45.97,29.94,416809.99,271465.98,145344.01
Asia,Australia,Beverages,Offline,L,04/13/2023,474874235,04/27/2023,4776,372.93,234.81,1781113.68,1121452.56,659661.12
Middle East and North Africa,Mexico,Office Supplies,Offline,H,10/31/2018,612117612,11/22/2018,4597,206.56,169.11,949556.32,777398.67,172157.65
Asia,Brazil,Cosmetics,Online,M,04/03/2014,984053011,04/17/2014,9312,350.94,229.49,3267953.28,2137010.88,1130942.4
Sub-Saharan Africa,Australia,Personal Care,Offline,H,10/17/2021,385739186,11/08/2021,4791,698.47,611.06,3346369.77,2927588.46,418781.31
Sub-Saharan Africa,Germany,Fruits,Online,M,04/17/2020,215559188,04/28/2020,7328,682.81,505.71,5003631.68,3705842.88,1297788.8
North America,Mexico,Beverages,Offline,H,11/14/2017,562100072,12/07/2017,8991,351.24,221.61,3157998.84,1992495.51,1165503.33
Australia and Oceania,Kenya,Household,Online,L,03/19/2022,477333521,04/15/2022,4150,392.42,309.83,1628543,1285794.5,342748.5
Australia and Oceania,Japan,Vegetables,Offline,C,10/19/2013,761757423,11/10/2013,7032,357.77,318.31,2515838.64,2238355.92,277482.72
Middle East and North Africa,Japan,Cereal,Offline,M,03/28/2021,703188236,04/26/2021,11579,504.4,451.43,5840447.6,5227107.97,613339.63
Middle East and North Africa,USA,Fruits,Online,C,03/15/2018,264929507,03/29/2018,4252,257.09,198.46,1093146.68,843851.92,249294.76
North America,Mexico,Clothes,Offline,L,08/25/2012,292997575,09/07/2012,6768,508.45,411.89,3441189.6,2787671.52,653518.08
Sub-Saharan Africa,Japan,Office Supplies,Offline,H,04/12/2022,261391877,04/24/2022,1151,480.81,430.8,553412.31,495850.8,57561.51
Middle East and North Africa,USA,Baby Food,Offline,L,12/05/2010,326819113,12/19/2010,4353,135.53,93.64,589962.09,407614.92,182347.17
Asia,USA,Cosmetics,Offline,H,01/14/2014,222579477,02/10/2014,7736,143.9,98.3,1113210.4,760448.8,352761.6
Europe,Brazil,Cosmetics,Offline,M,10/13/2016,841934241,10/18/2016,11574,558.45,373.28,6463500.3,4320342.72,2143157.58
Asia,USA,Fruits,Offline,C,12/01/2012,423941931,12/18/2012,2081,568.44,344.4,1182923.64,716696.4,466227.24
Asia,France,Household,Offline,L,04/25/2018,315969846,05/07/2018,11738,434.41,362.21,5099104.58,4251620.98,847483.6
North America,Germany,Personal Care,Online,H,12/31/2015,931821209,01/30/2016,5150,619.29,519.34,3189343.5,2674601,514742.5
Central America and the Caribbean,Kenya,Cosmetics,Offline,M,10/01/2018,912794655,10/09/2018,2309,111.96,97.61,258515.64,225381.49,33134.15
Sub-Saharan Africa,USA,Cereal,Online,L,02/18/2019,121547323,03/12/2019,818,511.12,343.35,418096.16,280860.3,137235.86
Middle East and North Africa,India,Snacks,Online,L,11/09/2011,503695584,12/04/2011,6104,353.77,238.72,2159412.08,1457146.88,702265.2
Asia,India,Office Supplies,Offline,C,06/22/2011,444289423,07/04/2011,1707,484.88,304.16,827690.16,519201.12,308489.04
North America,Germany,Cereal,Offline,H,10/13/2015,176252755,10/15/2015,745,271.3,221.43,202118.5,164965.35,37153.15
Central America and the Caribbean,UAE,Personal Care,Online,M,07/14/2022,412522332,07/23/2022,3610,482.09,294.3,1740344.9,1062423,677921.9
Sub-Saharan Africa,UAE,Vegetables,Offline,M,08/21/2021,213389639,08/24/2021,987,358.59,231.96,353928.33,228944.52,124983.81
Australia and Oceania,France,Vegetables,Offline,C,09/09/2014,630119635,09/25/2014,6805,584.77,460.62,3979359.85,3134519.1,844840.75
Central America and the Caribbean,USA,Office Supplies,Online,M,06/03/2016,601522973,06/26/2016,10111,381.38,303.82,3856133.18,3071924.02,784209.16
Sub-Saharan Africa,Australia,Beverages,Online,C,03/01/2022,937348304,03/11/2022,824,122.2,102.68,100692.8,84608.32,16084.48
Central America and the Caribbean,Germany,Personal Care,Online,H,02/23/2019,593155024,03/19/2019,218,692.42,553.35,150947.56,120630.3,30317.26
Sub-Saharan Africa,Mexico,Beverages,Offline,H,04/28/2014,897985153,05/06/2014,159,486.89,371.78,77415.51,59113.02,18302.49
Middle East and North Africa,UAE,Meat,Online,C,05/14/2023,666405997,06/05/2023,1718,382.69,286.45,657461.42,492121.1,165340.32
Middle East and North Africa,France,Baby Food,Online,H,02/16/2019,646552719,03/17/2019,11884,128.06,78.92,1521865.04,937885.28,583979.76
Asia,Germany,Cosmetics,Online,M,05/08/2023,222808170,06/04/2023,5954,641.93,430.24,3822051.22,2561648.96,1260402.26
Australia and Oceania,Japan,Baby Food,Online,M,04/20/2021,791571908,04/21/2021,8458,326.2,230.97,2758999.6,1953544.26,805455.34
Australia and Oceania,Mexico,Office Supplies,Offline,H,01/18/2022,401610940,02/10/2022,6016,634.3,471.26,3815948.8,2835100.16,980848.64
Australia and Oceania,USA,Personal Care,Online,H,10/12/2013,917285791,11/03/2013,3037,408.71,341.14,1241252.27,1036042.18,205210.09
Middle East and North Africa,Mexico,Baby Food,Offline,H,01/08/2010,656022271,01/19/2010,1790,99.62,60.1,178319.8,107579,70740.8
Sub-Saharan Africa,France,Office Supplies,Online,C,04/20/2019,517178339,04/25/2019,5541,149.19,117.72,826661.79,652286.52,174375.27
Europe,USA,Snacks,Offline,M,01/06/2012,425089638,02/03/2012,9301,670.68,451.88,6237994.68,4202935.88,2035058.8
North America,Australia,Cosmetics,Offline,L,01/01/2022,344922000,01/16/2022,3015,100.89,66.68,304183.35,201040.2,103143.15
Australia and Oceania,France,Meat,Offline,M,12/17/2022,581265188,12/19/2022,6255,168.06,109.63,1051215.3,685735.65,365479.65
Sub-Saharan Africa,Mexico,Cosmetics,Offline,H,09/19/2011,416177126,09/29/2011,9689,694.91,419.72,6732982.99,4066667.08,2666315.91
Europe,Mexico,Household,Offline,L,08/12/2010,348962094,08/13/2010,11994,139.79,84.98,1676641.26,1019250.12,657391.14
Sub-Saharan Africa,India,Household,Offline,H,08/13/2018,192113358,09/04/2018,11464,137.9,92.92,1580885.6,1065234.88,515650.72
North America,USA,Meat,Online,M,12/05/2013,418914431,12/08/2013,1654,158.82,124.34,262688.28,205658.36,57029.92
Australia and Oceania,Brazil,Meat,Online,M,04/30/2019,440808485,05/02/2019,1836,92.47,60.87,169774.92,111757.32,58017.6
Australia and Oceania,France,Meat,Online,M,08/30/2015,403549304,09/09/2015,11055,381.38,296.72,4216155.9,3280239.6,935916.3
North America,Germany,Cereal,Online,M,09/03/2015,458626900,09/15/2015,2761,11.25,9.33,31061.25,25760.13,5301.12
Europe,Germany,Vegetables,Offline,M,07/01/2010,216929849,07/25/2010,11184,140.63,102.95,1572805.92,1151392.8,421413.12
North America,India,Cereal,Offline,C,10/07/2022,366610743,10/25/2022,8378,70.08,45.4,587130.24,380361.2,206769.04
Middle East and North Africa,USA,Fruits,Online,C,08/07/2023,569874909,08/12/2023,9814,211.25,181.39,2073207.5,1780161.46,293046.04
Sub-Saharan Africa,UAE,Snacks,Online,C,01/08/2017,637312973,01/11/2017,8968,343.46,268.37,3080149.28,2406742.16,673407.12
Europe,Australia,Household,Online,M,07/03/2012,405743341,07/24/2012,11144,94.03,79.34,1047870.32,884164.96,163705.36
Central America and the Caribbean,Germany,Beverages,Online,M,03/14/2018,327207301,03/17/2018,6044,334.36,275.32,2020871.84,1664034.08,356837.76
Asia,UAE,Household,Online,M,10/12/2022,562924717,11/03/2022,388,63.43,42.44,24610.84,16466.72,8144.12
Central America and the Caribbean,Japan,Vegetables,Offline,M,09/23/2018,180534474,09/29/2018,11373,607.53,480.89,6909438.69,5469161.97,1440276.72
Central America and the Caribbean,UAE,Cosmetics,Online,H,05/22/2020,872065338,05/27/2020,9731,391.37,324.61,3808421.47,3158779.91,649641.56
Asia,France,Meat,Offline,H,02/21/2019,393519619,03/18/2019,685,257.98,192.66,176716.3,131972.1,44744.2
Sub-Saharan Africa,Brazil,Beverages,Online,M,12/03/2017,936752717,12/10/2017,5274,670.84,551.15,3538010.16,2906765.1,631245.06
Australia and Oceania,France,Fruits,Offline,M,04/04/2018,440001787,04/24/2018,7929,214.65,144.4,1701959.85,1144947.6,557012.25
Europe,Australia,Household,Online,L,10/08/2016,539125513,10/29/2016,9572,97.48,75.56,933078.56,723260.32,209818.24
Central America and the Caribbean,Germany,Cereal,Offline,C,02/16/2019,822525983,03/10/2019,10242,674.44,537.58,6907614.48,5505894.36,1401720.12
Europe,UAE,Cosmetics,Offline,M,05/31/2013,924552054,06/18/2013,4685,44.61,36.43,208997.85,170674.55,38323.3
Europe,Japan,Office Supplies,Online,L,02/09/2011,123021825,03/11/2011,2857,74.39,58.15,212532.23,166134.55,46397.68
Australia and Oceania,UAE,Cereal,Offline,H,05/26/2012,652768686,06/19/2012,7431,442.6,318.61,3288960.6,2367590.91,921369.69
Central America and the Caribbean,Germany,Baby Food,Offline,L,08/30/2011,605340399,08/31/2011,9362,227.64,188.22,2131165.68,1762115.64,369050.04
Australia and Oceania,Kenya,Office Supplies,Online,L,08/18/2017,891616439,09/02/2017,6469,328.02,280.06,2121961.38,1811708.14,310253.24
North America,UAE,Office Supplies,Online,M,03/02/2012,256655321,03/15/2012,7687,528.19,376.66,4060196.53,2895385.42,1164811.11
Australia and Oceania,Germany,Vegetables,Offline,C,09/21/2015,193253213,09/29/2015,5924,658.42,513.74,3900480.08,3043395.76,857084.32
North America,Brazil,Personal Care,Online,C,11/27/2013,727691544,12/14/2013,5586,464.62,318.27,2595367.32,1777856.22,817511.1
Asia,Australia,Vegetables,Offline,L,08/11/2011,124138317,08/15/2011,912,150.3,126.27,137073.6,115158.24,21915.36
Australia and Oceania,Mexico,Fruits,Offline,M,09/18/2017,822834368,10/07/2017,2873,239.47,172.78,687997.31,496396.94,191600.37
Central America and the Caribbean,USA,Clothes,Online,L,03/10/2020,331855842,03/20/2020,8117,684.15,610.61,5553245.55,4956321.37,596924.18
Asia,Mexico,Household,Online,H,03/14/2018,352263452,04/08/2018,4425,343.11,274.74,1518261.75,1215724.5,302537.25
Australia and Oceania,Australia,Beverages,Online,C,05/18/2023,844671768,05/26/2023,7428,422.22,341.34,3136250.16,2535473.52,600776.64
Middle East and North Africa,Mexico,Baby Food,Online,M,06/01/2017,134910117,06/06/2017,1335,250.51,195.12,334430.85,260485.2,73945.65
Europe,Japan,Office Supplies,Offline,C,04/01/2012,288308447,04/20/2012,7945,119.25,82.46,947441.25,655144.7,292296.55
Middle East and North Africa,Japan,Vegetables,Online,M,05/11/2019,965029841,05/14/2019,2843,637.28,423.31,1811787.04,1203470.33,608316.71
Sub-Saharan Africa,Germany,Vegetables,Offline,L,07/14/2018,339791497,08/08/2018,6032,346.91,309.51,2092561.12,1866964.32,225596.8
North America,Japan,Cereal,Online,H,06/25/2011,820602278,06/29/2011,3283,245.41,189.83,805681.03,623211.89,182469.14
North America,Mexico,Fruits,Offline,C,06/20/2023,702184361,07/12/2023,9148,342.31,253.13,3131451.88,2315633.24,815818.64
Europe,Australia,Clothes,Online,L,03/25/2010,595743544,04/06/2010,5793,642.29,429.45,3720785.97,2487803.85,1232982.12
Middle East and North Africa,Kenya,Cosmetics,Online,M,11/27/2012,360492874,12/15/2012,670,165.65,105.28,110985.5,70537.6,40447.9
Australia and Oceania,Japan,Beverages,Online,L,10/17/2010,178888328,10/22/2010,2065,367.5,222.52,758887.5,459503.8,299383.7
Middle East and North Africa,USA,Cosmetics,Offline,H,03/06/2022,447857353,03/17/2022,9598,666.39,438.09,6396011.22,4204787.82,2191223.4
Europe,Brazil,Snacks,Online,M,06/16/2023,385655484,06/22/2023,7669,623.75,519.44,4783538.75,3983585.36,799953.39
Middle East and North Africa,Germany,Office Supplies,Online,L,09/11/2017,555469674,10/10/2017,2840,388.4,326.43,1103056,927061.2,175994.8
Asia,Kenya,Meat,Offline,C,05/27/2015,176651725,06/22/2015,10043,679.89,535.09,6828135.27,5373908.87,1454226.4
Asia,Japan,Cosmetics,Offline,H,06/06/2021,605286548,06/28/2021,3762,182.58,134.3,686865.96,505236.6,181629.36
Central America and the Caribbean,Mexico,Office Supplies,Offline,M,10/09/2012,915895144,10/29/2012,6369,239.4,165.6,1524738.6,1054706.4,470032.2
Middle East and North Africa,India,Fruits,Offline,L,05/30/2017,864083437,06/06/2017,400,241.34,180.77,96536,72308,24228
Asia,Kenya,Cereal,Online,H,01/16/2019,456298787,01/29/2019,9640,365.49,267.09,3523323.6,2574747.6,948576
Sub-Saharan Africa,UAE,Personal Care,Offline,L,09/23/2015,650313272,09/24/2015,7982,545.22,369.05,4351946.04,2945757.1,1406188.94
Asia,Kenya,Office Supplies,Online,L,07/16/2012,918152992,07/21/2012,637,614.66,517.88,391538.42,329889.56,61648.86
Australia and Oceania,USA,Cosmetics,Online,L,04/09/2012,404096670,04/20/2012,3171,503.72,372.79,1597296.12,1182117.09,415179.03
Middle East and North Africa,India,Beverages,Offline,H,05/30/2021,578585152,06/21/2021,6480,646.39,529.2,4188607.2,3429216,759391.2
North America,Japan,Snacks,Online,C,11/18/2010,615975181,11/24/2010,5383,396.21,273.01,2132798.43,1469612.83,663185.6
Sub-Saharan Africa,UAE,Beverages,Offline,H,02/22/2011,111745658,02/25/2011,4392,434.79,300.66,1909597.68,1320498.72,589098.96
Middle East and North Africa,Brazil,Meat,Online,H,08/25/2015,666112467,09/02/2015,4332,417.43,338.01,1808306.76,1464259.32,344047.44
Sub-Saharan Africa,Germany,Personal Care,Online,M,12/26/2020,277220720,12/28/2020,9839,488.01,401.37,4801530.39,3949079.43,852450.96
Middle East and North Africa,France,Meat,Online,L,02/15/2010,969441546,03/02/2010,725,13.33,9.42,9664.25,6829.5,2834.75
Central America and the Caribbean,Brazil,Fruits,Online,L,12/24/2017,490698148,01/05/2018,5697,439.59,270.96,2504344.23,1543659.12,960685.11
Central America and the Caribbean,Germany,Household,Online,H,08/07/2017,649804641,08/22/2017,9241,510.27,394.14,4715405.07,3642247.74,1073157.33
North America,Mexico,Office Supplies,Offline,M,12/08/2020,598506042,12/28/2020,4924,230.99,148.99,1137394.76,733626.76,403768
Australia and Oceania,USA,Vegetables,Online,H,01/01/2020,938423656,01/22/2020,10319,30.84,22.14,318237.96,228462.66,89775.3
